scenario,seed,drift_level,accuracy,f1,roc_auc,precision,recall,rt_psi,rt_entropy,rt_stability,rt_model_score,rd_data_anomaly_rate,rd_data_score_mean,agg_unified_mean,agg_unified_std,agg_threshold_hits,agg_w_data,agg_w_model
A,49,0.5,0.98638125,0.9090757354475276,0.9247088007387907,0.9756381549484998,0.851015625,0.008802610522343289,0.5018139860157237,0.00018109741440137852,0.171623840037097,0.0448125,0.4097692958571539,0.18401214387218476,0.04162690705880928,0.0,0.3,0.7
A,49,1.0,0.985675,0.9049041573313418,0.9231818492060122,0.9648734737214653,0.851953125,0.008702746804100771,0.5025998817898252,8.935800684502873e-05,0.1693435537636496,0.04683125,0.4114844520768029,0.1827766032155663,0.04138283281620337,0.0,0.3,0.7
A,49,1.5,0.98441875,0.8974369523182623,0.920882683264691,0.9478578256713305,0.852109375,0.008671207147720808,0.5036467130464616,0.00023348538324752315,0.17205801923957698,0.04951875,0.414182532173527,0.18426528283679303,0.040141584602918716,0.0,0.3,0.7
A,49,2.0,0.98255,0.8866146848602989,0.9189410477347997,0.9232070365358592,0.8528125,0.009314932594177412,0.504960425873858,7.593873452726012e-05,0.17346041809401155,0.0543625,0.41794609643099156,0.18746710044620402,0.0402661461543725,0.0,0.3,0.7
A,49,4.0,0.95960625,0.7720844941284339,0.9041323205035665,0.7036703734653211,0.855234375,0.03423123896628925,0.5149401294445013,0.0007205071979036514,0.1901057444890927,0.10608125,0.44225154143800066,0.21426740416538415,0.041063996788845765,0.0,0.3,0.7
A,50,0.0,0.997275,0.9829501016737057,0.9996487299380096,0.9840275602881303,0.981875,0.0004242562697094773,0.4847974875073931,0.0002778417053883659,0.16560011914507017,0.04949375,0.4118531090670364,0.18076212969851843,0.04366664965497564,0.0,0.3,0.7
A,50,0.5,0.9864,0.909189550121025,0.9525153824515965,0.9759003762766529,0.851015625,0.014202036714781164,0.49172183671816994,4.33847188433821e-05,0.16753278674515718,0.043225,0.41121375921783654,0.18205395540521002,0.041693657996196995,0.0,0.3,0.7
A,50,1.0,0.9858875,0.9062759422214843,0.952073861827021,0.9667906482465463,0.852890625,0.014607542446875848,0.49197400157245685,6.908751811680246e-05,0.16731018870654338,0.04465625,0.4127312210107797,0.1810792825325112,0.040910464189859226,0.0,0.3,0.7
A,50,1.5,0.98491875,0.9006136990815108,0.9512428005052649,0.9524348810872028,0.854140625,0.015106052932058411,0.49245797931163815,5.3764220498085626e-05,0.1680524156059122,0.0473375,0.4154007428207011,0.18440837198827623,0.041547283234612084,0.0,0.3,0.7
A,50,2.0,0.9833125,0.891215775749674,0.9508438211192256,0.9312840599455041,0.854453125,0.01617171454475522,0.49310926457298254,8.562272506888797e-05,0.16865105292889201,0.05135625,0.41911062112127967,0.1882775278535511,0.04233005772959749,0.0,0.3,0.7
A,50,4.0,0.96235,0.7848571428571428,0.9400842675250509,0.7228947368421053,0.8584375,0.0396262908302263,0.5008556814416343,0.0008675165841878137,0.18935410640979836,0.099025,0.4430442021687418,0.21766802655137782,0.04326114909587155,0.0,0.3,0.7
